project_name,condition,rag_enabled,filter_enabled,model,status,error,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,governance_influence,agent_gini_final,agent_theil_final,agent_atkinson_final,agent_gini_ci_low,agent_gini_ci_high,mean_max_drawdown,mean_price_volatility,price_stability,abm_enabled
DeFiLend,Full Pipeline,True,True,default,Success,,False,False,False,1,2,0.19236666666666635,0.19236666666666635,0.19236666666666635,0.19236666666666635,0.0,0.2771233333333333,0.2524,0.1735,0.1708,0.524,0.1632086349404047,0.051201162526713,0.9424,True
DeFiLend,No RAG,False,True,default,Success,,False,False,False,1,1,0.29052500000000014,0.29052500000000014,0.29052500000000014,0.29052500000000014,0.0,0.26916,0.2555,0.1829,0.1719,0.5868,0.1720210762071499,0.049944237102800694,0.7264,True
DeFiLend,No Filter,True,False,default,Success,,True,False,False,1,0,0.2637428571428573,0.2637428571428573,0.2637428571428573,0.2637428571428573,0.0,0.27474666666666664,0.2413,0.1567,0.1711,0.5611,0.12915136573229805,0.044746806510234535,1.0,True
DeFiLend,No ABM,True,True,default,Success,,False,False,False,1,1,0.18682857142857134,0.18682857142857134,0.18682857142857134,0.18682857142857134,0.0,,,,,,,,,False
DeFiLend,No RAG + No Filter,False,False,default,Success,,True,False,False,1,0,0.2564333333333335,0.2564333333333335,0.2564333333333335,0.2564333333333335,0.0,0.28153999999999996,0.2754,0.1868,0.169,0.5809,0.16498970631416363,0.04966427767662451,0.9883,True
GameFiWorld,Full Pipeline,True,True,default,Success,,False,False,False,1,2,0.3406571428571432,0.3406571428571432,0.3406571428571432,0.3406571428571432,0.0,0.2685066666666666,0.2457,0.1591,0.1767,0.5523,0.14371969527506734,0.04774853137824312,0.8839,True
GameFiWorld,No RAG,False,True,default,Success,,False,False,False,1,1,0.3406571428571432,0.3406571428571432,0.3406571428571432,0.3406571428571432,0.0,0.2549366666666667,0.2032,0.1327,0.1417,0.5189,0.14960377020469579,0.05568513093584679,0.8819,True
GameFiWorld,No Filter,True,False,default,Success,,True,False,False,1,0,0.3406571428571432,0.3406571428571432,0.3251364020594789,0.3406571428571432,0.0,0.27577666666666667,0.2556,0.1789,0.1661,0.533,0.16810445676542837,0.050618611600616155,1.0,True
GameFiWorld,No ABM,True,True,default,Success,,False,True,False,0,3,0.33666666666666667,0.33666666666666667,0.32738095238095233,0.33666666666666667,0.675,,,,,,,,,False
GameFiWorld,No RAG + No Filter,False,False,default,Success,,True,False,False,1,0,0.2564333333333335,0.2564333333333335,0.2564333333333335,0.2564333333333335,0.6663778162911612,0.9435333333333333,2.9675,0.9064,0.8568,0.9654,0.9710363052883676,0.5678005695005623,0.1835,True
DePINStorage,Full Pipeline,True,True,default,Success,,False,False,False,1,1,0.3717666666666666,0.3717666666666666,0.3717666666666666,0.3717666666666666,0.0,0.27245666666666674,0.2345,0.1563,0.164,0.5317,0.18098602994222462,0.05573220336650388,0.8912,True
DePINStorage,No RAG,False,True,default,Success,,False,False,False,1,2,0.23076666666666656,0.23076666666666656,0.23076666666666656,0.23076666666666656,0.0,0.2901333333333333,0.2762,0.1788,0.1753,0.5501,0.16145947650079343,0.0501902252583936,0.9778,True
DePINStorage,No Filter,True,False,default,Success,,True,False,False,1,0,0.3956000000000002,0.3956000000000002,0.3956000000000002,0.3956000000000002,0.0,0.28329333333333334,0.2713,0.189,0.1639,0.5558,0.17927521786961487,0.04933328819567591,0.9067,True
DePINStorage,No ABM,True,True,default,Success,,False,False,False,1,2,0.3717666666666666,0.3717666666666666,0.3717666666666666,0.3717666666666666,0.0,,,,,,,,,False
DePINStorage,No RAG + No Filter,False,False,default,Success,,True,False,False,1,0,0.2564333333333335,0.2564333333333335,0.2564333333333335,0.2564333333333335,0.0,0.26359000000000005,0.2135,0.1382,0.1779,0.5033,0.09480745789230098,0.03587914262094124,1.0,True
