project_name,input_type,category,status,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,gini_full,insider_share_t0,t0_distributed_share,fairness_drift,stress_pass_rate,stress_passed,year1_inflation_proxy,n_allocations,insider_pct,distributed_pct,team_pct,investor_pct
SovereignNode Mesh,structured,Infrastructure,Success,True,True,False,0,0,0.18399999999999994,0.6666666666666667,0.5433962264150944,0.3328467153284671,0.18378832423351543,0.0,1.0,0.2986140277194456,1.0,True,17.77777777777778,5,30.0,70.0,18.0,12.0
DeFiShield Analytics,structured,Infrastructure,Success,True,True,False,0,0,0.24,0.0,0.3764705882352941,0.24615384615384617,0.2413431269674713,0.0,0.0,0.24868835257082897,0.8,True,21.25,5,25.0,75.0,15.0,10.0
StoryChain Creator,structured,Social and Content,Success,True,True,False,0,0,0.21599999999999997,0.6421052631578947,0.4405063291139244,0.2690265486725665,0.2211764705882353,0.0,1.0,0.2638655462184874,0.8,True,38.59649122807017,5,27.0,73.0,15.0,12.0
MusicDAO Collective,structured,Social and Content,Success,True,True,False,0,0,0.5449999999999999,0.0,0.6458333333333333,0.5506410256410255,0.5467171717171717,0.0,0.0,0.29292929292929293,0.4,False,28.000000000000004,8,30.0,70.0,18.0,12.0
PodcastShare Network,structured,Social and Content,Success,True,True,False,0,0,0.252,0.0,0.4095238095238094,0.26051282051282043,0.25454545454545463,0.0,0.0,0.29292929292929293,0.6,False,28.000000000000004,5,30.0,70.0,18.0,12.0
PhotographyRights Token,structured,Social and Content,Success,True,True,False,0,0,0.21599999999999997,0.8,0.3757085020242916,0.2690265486725665,0.2211764705882353,0.0,1.0,0.2638655462184874,0.2,False,174.44444444444443,5,27.0,73.0,15.0,12.0
ResearchFund DAO,structured,Social and Content,Success,True,True,False,0,0,0.252,0.6518518518518519,0.46942148760330604,0.21802575107296152,0.252,0.0,1.0,0.33,0.6,False,49.382716049382694,5,33.0,67.0,18.0,15.0
CommentaryDAO Consensus,structured,Social and Content,Success,True,True,False,0,0,0.24,0.5066666666666668,0.4774193548387098,0.3542857142857143,0.24537815126050422,0.0,1.0,0.24369747899159663,0.8,True,3.3333333333333335,5,25.0,75.0,15.0,10.0
InfluenceShare Platform,structured,Social and Content,Success,True,True,False,0,0,0.20399999999999996,0.6285714285714286,0.41879194630872507,0.24909090909090925,0.20606060606060606,0.0,1.0,0.29292929292929293,0.6,False,41.9047619047619,5,30.0,70.0,18.0,12.0
CommunityVote Protocol,structured,Social and Content,Success,True,True,False,0,0,0.28800000000000003,0.675,0.45853658536585384,0.309468822170901,0.290909090909091,0.0,1.0,0.2727272727272727,0.6,False,49.47916666666665,5,28.0,72.0,18.0,10.0
