project_name,input_type,category,status,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,gini_full,insider_share_t0,t0_distributed_share,fairness_drift,stress_pass_rate,stress_passed,year1_inflation_proxy,n_allocations,insider_pct,distributed_pct,team_pct,investor_pct
PodcastShare Network,structured,Social and Content,Success,True,True,False,0,0,0.252,0.6857142857142857,0.47248322147651023,0.2854545454545456,0.25454545454545463,0.0,1.0,0.29292929292929293,0.6,False,41.9047619047619,5,30.0,70.0,18.0,12.0
PhotographyRights Token,structured,Social and Content,Success,True,True,False,0,0,0.21599999999999997,0.6421052631578947,0.4405063291139244,0.2690265486725665,0.2211764705882353,0.0,1.0,0.2638655462184874,0.8,True,38.59649122807017,5,27.0,73.0,15.0,12.0
ResearchFund DAO,structured,Social and Content,Success,True,True,False,0,0,0.252,0.5791044776119403,0.5272084805653712,0.35608308605341255,0.25050505050505056,0.0,1.0,0.32323232323232326,0.8,True,5.597014925373134,5,33.0,67.0,18.0,15.0
CommentaryDAO Consensus,structured,Social and Content,Success,True,True,False,0,0,0.24,0.5066666666666668,0.4774193548387098,0.3542857142857143,0.24537815126050422,0.0,1.0,0.24369747899159663,0.8,True,3.3333333333333335,5,25.0,75.0,15.0,10.0
InfluenceShare Platform,structured,Social and Content,Success,True,True,False,0,0,0.20399999999999996,0.5142857142857142,0.47671232876712333,0.3247058823529412,0.20606060606060606,0.0,1.0,0.29292929292929293,0.8,True,4.285714285714286,5,30.0,70.0,18.0,12.0
CommunityVote Protocol,structured,Social and Content,Success,True,True,False,0,0,0.28800000000000003,0.5666666666666667,0.534228187919463,0.38596491228070184,0.290909090909091,0.0,1.0,0.2727272727272727,0.8,True,3.4722222222222223,5,28.0,72.0,18.0,10.0
ArtSale Marketplace,structured,Marketplace,Success,True,True,False,0,0,0.24,0.5428571428571429,0.4949152542372881,0.34782608695652173,0.24537815126050444,0.0,1.0,0.29411764705882354,0.8,True,5.357142857142857,5,30.0,70.0,15.0,15.0
PhysicalGoods Exchange,structured,Marketplace,Success,True,True,False,0,0,0.14800000000000013,0.4895522388059701,0.44240282685512367,0.27893175074183985,0.14949494949494957,0.0,1.0,0.32323232323232326,0.8,True,5.597014925373134,5,33.0,67.0,18.0,15.0
ComputeGig Exchange,structured,Marketplace,Success,True,True,False,0,0,0.276,0.5534246575342465,0.5157894736842106,0.3770114942528735,0.2783193277310927,0.0,1.0,0.2638655462184874,0.8,True,4.10958904109589,5,27.0,73.0,15.0,12.0
LandTitle Registry,structured,Marketplace,Success,True,True,False,0,0,0.24,0.5428571428571429,0.4949152542372881,0.34782608695652173,0.24537815126050444,0.0,1.0,0.29411764705882354,0.8,True,5.357142857142857,5,30.0,70.0,15.0,15.0
WholesaleHub B2B,structured,Marketplace,Success,True,True,False,0,0,0.19999999999999996,0.48571428571428577,0.45517241379310347,0.304950495049505,0.2011173184357542,0.0,1.0,0.2960893854748603,0.8,True,3.571428571428571,5,30.0,70.0,20.0,10.0
SkillBarter Exchange,structured,Marketplace,Success,True,True,False,0,0,0.256,0.7069767441860466,0.5114754098360657,0.3540229885057471,0.2581512605042018,0.0,1.0,0.2638655462184874,0.6,False,41.86046511627907,5,27.0,73.0,15.0,12.0
EventTicket DAO,structured,Marketplace,Success,True,True,False,0,0,0.22799999999999998,0.5111111111111111,0.48053691275167787,0.3391812865497077,0.23030303030303045,0.0,1.0,0.2727272727272727,0.8,True,3.4722222222222223,5,28.0,72.0,18.0,10.0
EnergyTrading P2P,structured,Marketplace,Success,True,True,False,0,0,0.21599999999999997,0.49444444444444446,0.46442953020134237,0.3251461988304094,0.21818181818181825,0.0,1.0,0.2727272727272727,0.8,True,3.4722222222222223,5,28.0,72.0,18.0,10.0
MedicalData Exchange,structured,Utility,Success,True,True,False,0,0,0.20799999999999996,0.4833333333333334,0.4536912751677853,0.3157894736842106,0.21010101010101012,0.0,1.0,0.2727272727272727,0.8,True,3.4722222222222223,5,28.0,72.0,18.0,10.0
IdentityVerify Network,structured,Utility,Success,True,True,False,0,0,0.20399999999999996,0.5142857142857142,0.47671232876712333,0.3247058823529412,0.20606060606060606,0.0,1.0,0.29292929292929293,0.8,True,4.285714285714286,5,30.0,70.0,18.0,12.0
EmissionTracker Protocol,structured,Utility,Success,True,True,False,0,0,0.16000000000000014,0.48571428571428577,0.44067796610169485,0.29565217391304355,0.16806722689075637,0.0,1.0,0.29411764705882354,0.8,True,5.357142857142857,5,30.0,70.0,15.0,15.0
VotingChain Governance,structured,Utility,Success,True,True,False,0,0,0.21599999999999997,0.49444444444444446,0.46442953020134237,0.3251461988304094,0.21818181818181825,0.0,1.0,0.2727272727272727,0.8,True,3.4722222222222223,5,28.0,72.0,18.0,10.0
QualityAssurance Token,structured,Utility,Success,True,True,False,0,0,0.14000000000000012,0.6285714285714286,0.4205128205128206,0.19428571428571462,0.14078212290502812,0.0,1.0,0.34636871508379885,0.8,True,39.285714285714285,5,35.0,65.0,20.0,15.0
CustomerLoyalty Web3,structured,Utility,Success,True,True,False,0,0,0.268,0.538888888888889,0.5073825503355704,0.36257309941520477,0.2707070707070707,0.0,1.0,0.2727272727272727,0.8,True,3.4722222222222223,5,28.0,72.0,18.0,10.0
WaterRights Trading,structured,Utility,Success,True,True,False,0,0,0.17999999999999994,0.0,0.3868852459016394,0.22585034013605432,0.17877094972067042,0.0,0.0,0.34636871508379885,0.6,False,25.416666666666664,5,35.0,65.0,20.0,15.0
EducationCredit Token,structured,Utility,Success,True,True,False,0,0,0.276,0.5534246575342465,0.5157894736842106,0.3770114942528735,0.27831932773109247,0.0,1.0,0.2638655462184874,0.8,True,4.10958904109589,5,27.0,73.0,15.0,12.0
PropertyInsurance Crypto,structured,Utility,Success,True,True,False,0,0,0.14800000000000013,0.4895522388059701,0.44240282685512367,0.27893175074183985,0.14949494949494957,0.0,1.0,0.32323232323232326,0.8,True,5.597014925373134,5,33.0,67.0,18.0,15.0
